,u,i,ts,label,idx
0,1,1,1080090715,0,0
1,2,2,1080090740,0,1
2,3,3,1080717604,0,2
3,4,4,1081366428,0,3
4,5,5,1082012911,0,4
5,2,5,1082033761,0,5
6,6,6,1082137282,0,6
7,1,6,1082148639,0,7
8,7,7,1082395129,0,8
9,8,8,1082395452,0,9
10,9,9,1082395557,0,10
11,10,10,1082399972,0,11
12,11,11,1082401253,0,12
13,12,12,1082406909,0,13
14,12,5,1082407191,0,14
15,13,13,1082407300,0,15
16,14,14,1082410641,0,16
17,15,15,1082411398,0,17
18,16,16,1082411521,0,18
19,17,17,1082412995,0,19
20,18,18,1082413704,0,20
21,19,19,1082413845,0,21
22,20,20,1082413918,0,22
23,21,21,1082414510,0,23
24,22,22,1082415249,0,24
25,23,23,1082416075,0,25
26,24,24,1082419006,0,26
27,25,25,1082419491,0,27
28,26,26,1082419508,0,28
29,27,27,1082419598,0,29
30,28,28,1082419811,0,30
31,29,29,1082420000,0,31
32,30,30,1082420304,0,32
33,31,31,1082422024,0,33
34,32,32,1082422773,0,34
35,33,33,1082423948,0,35
36,34,34,1082424894,0,36
37,35,35,1082425045,0,37
38,36,36,1082425164,0,38
39,37,37,1082426368,0,39
40,38,38,1082426423,0,40
41,39,39,1082428050,0,41
42,40,40,1082429122,0,42
43,41,41,1082429885,0,43
44,42,42,1082430353,0,44
45,43,43,1082430702,0,45
46,44,44,1082431427,0,46
47,45,45,1082431597,0,47
48,46,46,1082431918,0,48
49,47,47,1082431951,0,49
50,48,48,1082432199,0,50
51,45,41,1082432419,0,51
52,49,49,1082432523,0,52
53,30,41,1082432556,0,53
54,50,50,1082432894,0,54
55,51,51,1082433147,0,55
56,28,32,1082433203,0,56
57,52,52,1082433236,0,57
58,53,53,1082433247,0,58
59,28,50,1082433253,0,59
60,54,54,1082433810,0,60
61,55,55,1082433954,0,61
62,46,42,1082433988,0,62
63,56,56,1082434455,0,63
64,28,18,1082434554,0,64
65,28,3,1082434624,0,65
66,57,57,1082434656,0,66
67,28,19,1082434695,0,67
68,58,58,1082434755,0,68
69,28,58,1082434953,0,69
70,59,59,1082435002,0,70
71,28,18,1082435128,0,71
72,28,21,1082435360,0,72
73,60,60,1082435822,0,73
74,48,21,1082435823,0,74
75,61,61,1082436069,0,75
76,62,62,1082437254,0,76
77,63,63,1082437293,0,77
78,64,64,1082437327,0,78
79,65,65,1082437391,0,79
80,66,66,1082437554,0,80
81,59,63,1082437744,0,81
82,67,67,1082437916,0,82
83,68,68,1082438491,0,83
84,69,69,1082440433,0,84
85,70,70,1082440433,0,85
86,71,71,1082441237,0,86
87,72,72,1082441444,0,87
88,73,73,1082441796,0,88
89,74,74,1082442005,0,89
90,48,31,1082442874,0,90
91,30,51,1082443043,0,91
92,28,71,1082443445,0,92
93,28,31,1082443456,0,93
94,75,75,1082443646,0,94
95,76,76,1082443968,0,95
96,77,77,1082444181,0,96
97,78,78,1082445611,0,97
98,79,79,1082445633,0,98
99,80,80,1082449329,0,99
100,81,81,1082450147,0,100
101,82,82,1082450680,0,101
102,83,83,1082453167,0,102
103,65,63,1082459889,0,103
104,40,41,1082473925,0,104
105,84,84,1082479409,0,105
106,85,85,1082480200,0,106
107,86,86,1082482025,0,107
108,87,87,1082482438,0,108
109,88,88,1082482462,0,109
110,17,88,1082483040,0,110
111,89,89,1082483122,0,111
112,90,90,1082483606,0,112
113,91,91,1082484182,0,113
114,92,92,1082484933,0,114
115,93,93,1082485000,0,115
116,94,94,1082489405,0,116
117,95,95,1082491395,0,117
118,96,96,1082496525,0,118
119,96,65,1082496883,0,119
120,97,97,1082497527,0,120
121,98,98,1082498302,0,121
122,99,99,1082500073,0,122
123,100,100,1082501629,0,123
124,101,101,1082504417,0,124
125,89,83,1082510306,0,125
126,89,83,1082510311,0,126
127,89,83,1082510313,0,127
128,89,83,1082510316,0,128
129,102,102,1082510785,0,129
130,29,81,1082510823,0,130
131,103,103,1082512763,0,131
132,11,94,1082518330,0,132
133,11,81,1082518518,0,133
134,104,104,1082518854,0,134
135,105,105,1082518892,0,135
136,106,106,1082519132,0,136
137,107,107,1082519708,0,137
138,108,108,1082522127,0,138
139,109,109,1082522377,0,139
140,110,110,1082522475,0,140
141,111,111,1082522619,0,141
142,10,109,1082523749,0,142
143,112,112,1082525442,0,143
144,113,113,1082526601,0,144
145,114,114,1082528764,0,145
146,115,115,1082528898,0,146
147,116,116,1082529505,0,147
148,117,117,1082529508,0,148
149,118,118,1082529735,0,149
150,119,119,1082530624,0,150
151,120,120,1082530901,0,151
152,121,121,1082531173,0,152
153,122,122,1082531326,0,153
154,53,119,1082531649,0,154
155,123,123,1082532125,0,155
156,10,122,1082532357,0,156
157,37,3,1082533105,0,157
158,37,50,1082533154,0,158
159,37,18,1082533262,0,159
160,37,42,1082533296,0,160
161,124,124,1082534048,0,161
162,37,119,1082534242,0,162
163,125,125,1082534308,0,163
164,126,126,1082534962,0,164
165,127,127,1082544104,0,165
166,128,128,1082546078,0,166
167,129,129,1082550986,0,167
168,130,130,1082560241,0,168
169,131,131,1082566298,0,169
170,37,128,1082567011,0,170
171,132,132,1082568485,0,171
172,133,133,1082568498,0,172
173,37,131,1082569144,0,173
174,134,134,1082570345,0,174
175,135,135,1082571612,0,175
176,136,136,1082573754,0,176
177,137,137,1082573897,0,177
178,138,138,1082575169,0,178
179,139,139,1082576274,0,179
180,28,122,1082576500,0,180
181,140,140,1082576563,0,181
182,141,141,1082577753,0,182
183,9,141,1082578268,0,183
184,123,31,1082580505,0,184
185,9,123,1082581022,0,185
186,124,123,1082581308,0,186
187,142,142,1082581599,0,187
188,77,123,1082582283,0,188
189,143,143,1082584484,0,189
190,144,144,1082586354,0,190
191,145,145,1082586410,0,191
192,146,146,1082586878,0,192
193,147,147,1082587216,0,193
194,28,127,1082589355,0,194
195,148,148,1082590032,0,195
196,149,149,1082590156,0,196
197,10,144,1082590515,0,197
198,9,137,1082590551,0,198
199,29,129,1082590856,0,199
200,10,29,1082590922,0,200
201,150,150,1082591117,0,201
202,134,116,1082591195,0,202
203,10,148,1082591345,0,203
204,150,125,1082591348,0,204
205,151,151,1082591382,0,205
206,10,29,1082591485,0,206
207,10,146,1082591565,0,207
208,9,151,1082591720,0,208
209,137,146,1082591734,0,209
210,9,18,1082591872,0,210
211,152,152,1082591988,0,211
212,10,150,1082592176,0,212
213,10,44,1082592517,0,213
214,150,152,1082592868,0,214
215,147,144,1082593209,0,215
216,10,44,1082593587,0,216
217,153,153,1082593652,0,217
218,154,154,1082593911,0,218
219,29,151,1082594255,0,219
220,10,44,1082594672,0,220
221,10,144,1082594713,0,221
222,155,155,1082595137,0,222
223,37,13,1082595419,0,223
224,37,154,1082595468,0,224
225,37,153,1082595482,0,225
226,37,150,1082595500,0,226
227,37,152,1082595561,0,227
228,37,131,1082595578,0,228
229,37,129,1082595607,0,229
230,37,146,1082595638,0,230
231,37,151,1082595868,0,231
232,28,154,1082595924,0,232
233,156,156,1082595963,0,233
234,28,146,1082595979,0,234
235,46,138,1082596019,0,235
236,29,146,1082596066,0,236
237,46,138,1082596068,0,237
238,155,29,1082596314,0,238
239,37,29,1082596371,0,239
240,155,29,1082596449,0,240
241,29,85,1082596481,0,241
242,85,150,1082596650,0,242
243,155,29,1082596668,0,243
244,155,29,1082596799,0,244
245,85,152,1082596818,0,245
246,155,29,1082596879,0,246
247,157,157,1082597060,0,247
248,155,30,1082597496,0,248
249,158,158,1082597848,0,249
250,156,155,1082598190,0,250
251,159,159,1082599182,0,251
252,160,160,1082599647,0,252
253,161,161,1082599921,0,253
254,130,137,1082599967,0,254
255,9,144,1082600089,0,255
256,162,162,1082600309,0,256
257,163,163,1082600474,0,257
258,164,164,1082600701,0,258
259,165,165,1082600863,0,259
260,155,29,1082601154,0,260
261,164,146,1082601205,0,261
262,164,73,1082601281,0,262
263,137,146,1082601309,0,263
264,166,166,1082601910,0,264
265,73,164,1082602049,0,265
266,167,167,1082602240,0,266
267,167,142,1082602449,0,267
268,142,167,1082602519,0,268
269,168,168,1082602577,0,269
270,167,142,1082602713,0,270
271,142,167,1082602772,0,271
272,11,146,1082602914,0,272
273,9,16,1082602917,0,273
274,9,16,1082603041,0,274
275,28,146,1082603094,0,275
276,167,142,1082603132,0,276
277,28,162,1082603139,0,277
278,169,169,1082603172,0,278
279,29,160,1082604126,0,279
280,37,162,1082604906,0,280
281,37,161,1082604922,0,281
282,170,170,1082605042,0,282
283,171,171,1082605219,0,283
284,132,77,1082605294,0,284
285,132,13,1082605335,0,285
286,37,139,1082605418,0,286
287,132,146,1082605464,0,287
288,37,171,1082605472,0,288
289,132,130,1082605747,0,289
290,48,110,1082606171,0,290
291,172,172,1082606209,0,291
292,48,73,1082606244,0,292
293,46,29,1082606266,0,293
294,48,154,1082606710,0,294
295,48,146,1082606830,0,295
296,48,146,1082606835,0,296
297,48,146,1082606837,0,297
298,173,173,1082607034,0,298
299,48,129,1082607188,0,299
300,145,151,1082607260,0,300
301,137,130,1082607277,0,301
302,174,174,1082607364,0,302
303,53,146,1082607631,0,303
304,175,175,1082607857,0,304
305,176,176,1082608183,0,305
306,177,177,1082608404,0,306
307,178,178,1082608735,0,307
308,37,146,1082608843,0,308
309,13,132,1082608885,0,309
310,37,13,1082608893,0,310
311,155,151,1082609159,0,311
312,37,13,1082609535,0,312
313,37,146,1082609902,0,313
314,9,175,1082610466,0,314
315,48,149,1082611006,0,315
316,48,73,1082611094,0,316
317,179,179,1082611522,0,317
318,1,175,1082611842,0,318
319,48,30,1082611996,0,319
320,48,146,1082612071,0,320
321,175,60,1082612633,0,321
322,145,146,1082612803,0,322
323,10,44,1082612832,0,323
324,60,77,1082613031,0,324
325,133,13,1082613309,0,325
326,180,180,1082613311,0,326
327,10,69,1082613489,0,327
328,181,181,1082613515,0,328
329,182,182,1082613669,0,329
330,133,30,1082613750,0,330
331,183,183,1082614035,0,331
332,184,184,1082614065,0,332
333,10,182,1082614183,0,333
334,181,150,1082614202,0,334
335,10,181,1082614259,0,335
336,10,175,1082614318,0,336
337,184,79,1082614375,0,337
338,10,166,1082614560,0,338
339,184,79,1082614625,0,339
340,10,181,1082614641,0,340
341,184,79,1082614781,0,341
342,185,185,1082614911,0,342
343,10,44,1082615001,0,343
344,186,186,1082615109,0,344
345,10,175,1082615492,0,345
346,137,146,1082615612,0,346
347,186,175,1082615704,0,347
348,10,175,1082616070,0,348
349,186,175,1082616089,0,349
350,186,175,1082616464,0,350
351,156,175,1082616564,0,351
352,156,49,1082616595,0,352
353,133,30,1082616860,0,353
354,1,175,1082617249,0,354
355,1,175,1082617496,0,355
356,187,187,1082617592,0,356
357,77,60,1082618017,0,357
358,188,188,1082618397,0,358
359,189,189,1082618719,0,359
360,190,190,1082618927,0,360
361,175,30,1082619087,0,361
362,191,191,1082619729,0,362
363,192,192,1082619758,0,363
364,184,171,1082620022,0,364
365,192,69,1082620195,0,365
366,193,193,1082620466,0,366
367,194,194,1082620635,0,367
368,195,195,1082620849,0,368
369,30,175,1082621173,0,369
370,175,30,1082622090,0,370
371,184,124,1082622373,0,371
372,196,196,1082622627,0,372
373,197,197,1082622642,0,373
374,198,198,1082622739,0,374
375,199,199,1082622795,0,375
376,200,200,1082622952,0,376
377,197,199,1082623022,0,377
378,199,197,1082623176,0,378
379,197,199,1082623211,0,379
380,77,197,1082623320,0,380
381,201,201,1082623335,0,381
382,202,202,1082623471,0,382
383,203,203,1082623508,0,383
384,204,204,1082623517,0,384
385,193,30,1082623632,0,385
386,193,30,1082623646,0,386
387,197,77,1082623776,0,387
388,195,180,1082623993,0,388
389,201,197,1082624089,0,389
390,197,77,1082624400,0,390
391,197,201,1082624411,0,391
392,180,195,1082624773,0,392
393,77,146,1082624834,0,393
394,197,77,1082624863,0,394
395,205,205,1082626767,0,395
396,206,206,1082627683,0,396
397,173,73,1082627884,0,397
398,173,146,1082628245,0,398
399,126,151,1082630388,0,399
400,126,151,1082630397,0,400
401,207,207,1082630662,0,401
402,173,73,1082632908,0,402
403,208,208,1082642638,0,403
404,209,209,1082645468,0,404
405,210,210,1082645707,0,405
406,210,150,1082646316,0,406
407,143,73,1082646483,0,407
408,210,152,1082646766,0,408
409,210,30,1082646851,0,409
410,210,81,1082647303,0,410
411,211,211,1082647401,0,411
412,210,205,1082647617,0,412
413,210,171,1082648050,0,413
414,9,201,1082648871,0,414
415,212,212,1082649216,0,415
416,213,213,1082649466,0,416
417,214,214,1082652101,0,417
418,10,210,1082652117,0,418
419,215,215,1082652407,0,419
420,10,126,1082652695,0,420
421,11,215,1082652979,0,421
422,216,216,1082653276,0,422
423,11,216,1082653543,0,423
424,217,217,1082653673,0,424
425,10,91,1082653740,0,425
426,84,14,1082654353,0,426
427,218,218,1082654552,0,427
428,219,219,1082654646,0,428
429,11,146,1082655261,0,429
430,220,220,1082655301,0,430
431,10,220,1082655516,0,431
432,10,216,1082655540,0,432
433,221,221,1082655554,0,433
434,222,222,1082656280,0,434
435,132,216,1082656307,0,435
436,136,210,1082656476,0,436
437,180,221,1082656573,0,437
438,223,223,1082657045,0,438
439,150,181,1082657375,0,439
440,150,210,1082657409,0,440
441,150,85,1082657451,0,441
442,224,224,1082657967,0,442
443,225,225,1082658132,0,443
444,226,226,1082658219,0,444
445,227,227,1082658585,0,445
446,96,146,1082658770,0,446
447,133,146,1082659010,0,447
448,9,140,1082659506,0,448
449,228,228,1082659619,0,449
450,229,229,1082659822,0,450
451,9,228,1082660080,0,451
452,9,228,1082660112,0,452
453,230,230,1082660438,0,453
454,9,132,1082660639,0,454
455,139,146,1082661059,0,455
456,231,231,1082662150,0,456
457,192,29,1082662230,0,457
458,232,232,1082662921,0,458
459,233,233,1082663016,0,459
460,176,195,1082663152,0,460
461,234,234,1082663263,0,461
462,208,67,1082663488,0,462
463,208,67,1082663504,0,463
464,67,208,1082663575,0,464
465,67,16,1082663650,0,465
466,208,67,1082663749,0,466
467,67,208,1082663772,0,467
468,208,146,1082663848,0,468
469,235,235,1082663934,0,469
470,142,167,1082664201,0,470
471,236,236,1082664223,0,471
472,176,67,1082664796,0,472
473,237,237,1082664978,0,473
474,237,215,1082665286,0,474
475,73,143,1082665510,0,475
476,238,238,1082665754,0,476
477,239,239,1082665993,0,477
478,240,240,1082666094,0,478
479,9,79,1082666331,0,479
